,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop
Malta,118631.0,,835.0,,117253.0,,543.0,4.0,267167.0,1880.0,2138016.0,4814993.0,444033.0,Europe,,45320.0,
Barbados,107794.0,,593.0,,106971.0,,230.0,,374255.0,2059.0,801451.0,2782594.0,288023.0,North America,,34860.0,
Angola,105384.0,,1934.0,,103419.0,,31.0,,3009.0,55.0,1499795.0,42818.0,35027343.0,Africa,,3321811123.0,
Channel Islands,101717.0,,228.0,,101321.0,,168.0,,576421.0,1292.0,1252808.0,7099551.0,176463.0,Europe,,27740.0,
French Guiana,98041.0,,420.0,,11254.0,,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,,37480.0,
DRC,96652.0,,1467.0,,84489.0,,10696.0,,1015.0,15.0,846704.0,8890.0,95240792.0,Africa,,98564922112.0,
Senegal,88997.0,,1971.0,,87024.0,,2.0,,5041.0,112.0,1146543.0,64946.0,17653671.0,Africa,,198895715.0,
Malawi,88728.0,,2686.0,,85651.0,,391.0,67.0,4397.0,133.0,624784.0,30959.0,20180839.0,Africa,,227751332.0,
Ivory Coast,88330.0,,834.0,,87492.0,,4.0,,3184.0,30.0,1690172.0,60924.0,27742298.0,Africa,,3143326416.0,
Suriname,82513.0,,1405.0,,,,,,138252.0,2354.0,241842.0,405210.0,596831.0,South America,,74252.0,
New Caledonia,79922.0,,314.0,,79605.0,,3.0,9.0,274726.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,,49263.0,
French Polynesia,78545.0,,649.0,,,,,7.0,276407.0,2284.0,,,284164.0,Australia/Oceania,,4438.0,
Eswatini,74670.0,,1425.0,,73116.0,,129.0,,63022.0,1203.0,1048704.0,885119.0,1184817.0,Africa,,168311.0,
Guyana,73198.0,,1298.0,,71880.0,,20.0,,92184.0,1635.0,729688.0,918950.0,794045.0,South America,,116121.0,
Belize,70782.0,,688.0,,70085.0,,9.0,6.0,171722.0,1669.0,576016.0,1397453.0,412190.0,North America,,65991.0,
Fiji,68921.0,,883.0,,67029.0,,1009.0,,75782.0,971.0,670903.0,737689.0,909466.0,Australia/Oceania,,1310301.0,
Madagascar,68281.0,,1424.0,,66846.0,,11.0,,2340.0,49.0,530992.0,18198.0,29178077.0,Africa,,4272049055.0,
Sudan,63993.0,,5046.0,,58671.0,15.0,276.0,,1391.0,110.0,562941.0,12240.0,45992020.0,Africa,,719911582.0,
Cabo Verde,63829.0,,414.0,,63261.0,,154.0,23.0,112439.0,729.0,401622.0,707482.0,567678.0,Africa,,913711.0,
Mauritania,63715.0,,997.0,,62471.0,,247.0,,12998.0,203.0,1009957.0,206030.0,4901981.0,Africa,,7749175.0,
Bhutan,62668.0,,21.0,,61564.0,,1083.0,,79534.0,27.0,2303734.0,2923739.0,787941.0,Asia,,13375210.0,
Syria,57595.0,,3164.0,,54370.0,,61.0,,2974.0,163.0,146269.0,7553.0,19364809.0,Asia,,3366120132.0,
Burundi,53749.0,,38.0,,53569.0,,142.0,,4257.0,3.0,345742.0,27386.0,12624840.0,Africa,,23533223337.0,
Seychelles,50937.0,,172.0,,50750.0,,15.0,,512311.0,1730.0,,,99426.0,Africa,,2578.0,
Gabon,48992.0,,307.0,,48674.0,,11.0,,21013.0,132.0,1621909.0,695641.0,2331533.0,Africa,,4875951.0,
Andorra,48015.0,,165.0,,47563.0,,287.0,14.0,619844.0,2130.0,249838.0,3225256.0,77463.0,Europe,,24690.0,
Papua New Guinea,46864.0,,670.0,,43982.0,,2212.0,7.0,5043.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,,1981386937.0,
Curaçao,45986.0,,295.0,,44720.0,,971.0,3.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,,45610.0,
Aruba,44180.0,,236.0,,42438.0,,1506.0,2.0,410560.0,2193.0,177885.0,1653068.0,107609.0,North America,,24561.0,
Tanzania,43078.0,,846.0,,,,,7.0,681.0,13.0,,,63298550.0,Africa,,146974821.0,
Mauritius,42442.0,,1049.0,,40653.0,,740.0,,33295.0,823.0,358675.0,281374.0,1274727.0,Africa,,3012154.0,
Mayotte,42027.0,,188.0,,,,,,146815.0,657.0,176919.0,618038.0,286259.0,Africa,,715232.0,
Togo,39491.0,,290.0,,39193.0,,8.0,,4549.0,33.0,811283.0,93457.0,8680837.0,Africa,,2202993411.0,
Guinea,38563.0,,468.0,,37757.0,,338.0,8.0,2781.0,34.0,660107.0,47607.0,13865691.0,Africa,,3602962821.0,
